CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,0
12347,2,7,4310.0,3
12348,75,4,1797.24,3
12349,18,1,1757.55,3
12350,310,1,334.4,1
12352,36,8,2506.04,3
12353,204,1,89.0,1
12354,232,1,1079.4,1
12355,214,1,459.4,1
12356,22,3,2811.43,3
12357,33,1,6207.67,3
12358,1,2,1168.06,3
12359,57,4,6310.03,3
12360,52,3,2662.06,3
12361,287,1,189.9,1
12362,3,10,5226.23,3
12363,109,2,552.0,3
12364,7,4,1313.1,3
12365,291,2,641.38,1
12367,4,1,168.9,3
12370,51,4,3541.94,3
12371,44,2,1887.96,3
12372,71,3,1298.04,3
12373,311,1,364.6,1
12374,25,1,742.9300000000001,3
12375,10,2,457.5,3
12377,315,2,1628.12,1
12378,129,1,4008.62,3
12379,81,2,852.24,3
12380,21,4,2724.81,3
12381,4,5,1845.31,3
12383,184,5,1850.56,1
12384,28,2,585.27,3
12386,337,2,401.9,1
12388,15,6,2780.66,3
12390,79,1,549.84,3
12391,21,1,439.66,3
12393,72,4,1582.6000000000001,3
12394,63,2,1272.48,3
12395,19,12,3018.63,3
12397,35,2,2409.9,3
12398,45,1,1635.6599999999999,3
12399,119,4,1108.65,3
12401,303,1,84.3,1
12402,323,1,225.6,1
12403,49,1,427.7,3
12405,148,1,1710.39,1
12406,22,2,3415.3,3
12407,49,5,1708.1200000000001,3
12408,32,5,2888.55,3
12409,78,3,11072.67,3
12410,308,2,693.3299999999999,1
12412,74,3,1226.88,3
12413,66,3,758.1,3
12414,217,3,562.41,1
12415,24,21,124914.53,2
12417,3,9,3649.1,3
12418,112,1,668.58,3
12420,63,1,600.39,3
12421,15,4,807.04,3
12422,95,3,803.5600000000001,3
12423,0,8,1859.31,3
12424,162,2,1760.96,1
12425,78,1,777.2,3
12426,194,1,582.73,1
12427,21,3,825.8,3
12428,25,9,7956.46,3
12429,9,4,3750.4,3
12430,43,1,256.4,3
12431,35,15,6419.95,0
12432,42,5,5059.32,3
12433,0,7,13375.87,3
12434,84,2,806.14,3
12435,79,2,7829.89,3
12436,99,1,509.01,3
12437,1,18,4951.41,0
12438,14,2,2906.85,3
12441,366,1,173.55,1
12442,3,1,172.06,3
12444,21,5,5005.46,3
12445,22,1,133.4,3
12446,57,1,1002.3100000000001,3
12447,243,1,476.49,1
12448,44,1,449.45,3
12449,22,4,4067.29,3
12450,156,2,197.88,1
12451,10,5,9035.52,3
12452,16,2,430.57,3
12453,134,1,707.09,3
12454,56,1,3528.34,3
12455,73,6,2466.86,3
12456,44,3,3181.04,3
12457,66,7,2363.23,3
12458,71,2,947.4,3
12461,94,2,826.88,3
12462,18,2,1189.59,3
12463,53,4,1344.78,3
12464,10,8,1212.05,3
12465,17,2,742.1899999999999,3
12468,187,2,729.5400000000001,1
12471,2,30,19788.65,0
12472,32,7,6572.11,3
12473,29,5,3928.0499999999997,3
12474,17,18,7324.09,0
12475,53,1,723.38,3
12476,15,11,6816.42,3
12477,22,6,13219.74,3
12478,3,1,680.99,3
12479,11,1,527.2,3
12480,28,4,3281.63,3
12481,22,10,5579.82,3
12483,17,8,2484.98,3
12484,32,6,4527.32,3
12488,9,3,1298.66,3
12489,336,1,334.93,1
12490,5,10,5417.93,3
12491,38,1,460.40000000000003,3
12492,63,2,263.21000000000004,3
12493,165,2,433.74,1
12494,15,7,1246.1000000000001,3
12497,81,1,1043.1,3
12498,21,3,403.70000000000005,3
12500,23,11,4257.82,3
12501,336,1,2169.39,1
12502,95,5,3723.87,3
12504,18,2,482.04999999999995,3
12506,232,1,73.5,1
12507,134,3,1304.81,3
12508,26,2,397.88,3
12509,284,1,176.5,1
12510,142,2,982.5699999999999,3
12512,66,2,132.18,3
12513,112,1,612.29,3
12514,267,1,1017.68,1
12515,353,1,383.7,1
12516,77,2,1312.06,3
12517,28,5,2481.6,3
12518,0,5,2056.89,3
12519,63,1,330.84,3
12520,79,5,2634.26,3
12521,142,1,599.68,3
12522,39,2,192.72,3
12523,19,11,1789.77,3
12524,9,8,4485.72,3
12526,0,3,1316.66,3
12527,81,3,348.71000000000004,3
12528,9,6,1933.48,3
12530,59,4,1662.28,3
12531,14,1,125.22,3
12532,30,1,349.83000000000004,3
12534,130,1,1089.18,3
